date,averageprice,totalvolume,totalbags,smallbags,largebags,xlargebags,type,region,price_category,year
2015-01-25,1.75,1460.04,726.67,726.67,0.0,0.0,organic,Tampa,High price,2015
2015-01-25,1.53,556368.86,131808.1,95964.83,35843.27,0.0,organic,TotalUS,High price,2015
2015-01-25,1.52,166494.38,35665.87,9756.03,25909.84,0.0,organic,West,High price,2015
2015-01-25,1.63,7324.06,2356.88,2320.0,36.88,0.0,organic,WestTexNewMexico,High price,2015
2015-02-01,1.83,1228.51,1096.03,1096.03,0.0,0.0,organic,Albany,High price,2015
2015-02-01,1.44,7665.7,1889.49,1133.33,756.16,0.0,organic,Atlanta,High price,2015
2015-02-01,1.15,27929.74,4613.61,4613.61,0.0,0.0,organic,BaltimoreWashington,High price,2015
2015-02-01,1.43,1780.76,781.45,283.33,498.12,0.0,organic,Boise,High price,2015
2015-02-01,1.78,2943.85,1622.73,1622.73,0.0,0.0,organic,Boston,High price,2015
2015-02-01,1.55,2808.55,2687.42,2687.42,0.0,0.0,organic,BuffaloRochester,High price,2015
2015-02-01,1.11,196031.9,11697.02,11697.02,0.0,0.0,organic,California,High price,2015
2015-02-01,1.93,3557.34,644.69,644.69,0.0,0.0,organic,Charlotte,High price,2015
2015-02-01,1.52,14391.05,1192.23,1192.23,0.0,0.0,organic,Chicago,High price,2015
2015-02-01,1.19,10707.5,1348.7,371.08,977.62,0.0,organic,CincinnatiDayton,High price,2015
2015-02-01,1.63,4215.96,798.7,223.33,575.37,0.0,organic,Columbus,High price,2015
2015-02-01,1.24,12276.58,3953.33,3953.33,0.0,0.0,organic,DallasFtWorth,High price,2015
2015-02-01,1.29,27527.63,11889.86,1323.33,10566.53,0.0,organic,Denver,High price,2015
2015-02-01,1.55,8707.92,1302.37,253.33,1049.04,0.0,organic,Detroit,High price,2015
2015-02-01,1.98,769.05,96.67,96.67,0.0,0.0,organic,GrandRapids,High price,2015
2015-02-01,1.53,63248.58,12806.99,8615.6,4191.39,0.0,organic,GreatLakes,High price,2015
2015-02-01,1.65,3796.16,3605.48,3605.48,0.0,0.0,organic,HarrisburgScranton,High price,2015
2015-02-01,1.54,6084.48,587.68,587.68,0.0,0.0,organic,HartfordSpringfield,High price,2015
2015-02-01,1.15,12285.76,946.67,946.67,0.0,0.0,organic,Houston,High price,2015
2015-02-01,1.69,1565.24,714.98,496.67,218.31,0.0,organic,Indianapolis,High price,2015
2015-02-01,1.76,1591.75,720.0,720.0,0.0,0.0,organic,Jacksonville,High price,2015
2015-02-01,1.6,7634.17,383.33,383.33,0.0,0.0,organic,LasVegas,High price,2015
2015-02-01,1.12,50107.32,8756.72,8756.72,0.0,0.0,organic,LosAngeles,High price,2015
2015-02-01,1.55,1336.46,564.05,303.33,260.72,0.0,organic,Louisville,High price,2015
2015-02-01,1.73,1767.3,923.33,923.33,0.0,0.0,organic,Miami,High price,2015
2015-02-01,1.44,72159.84,19318.05,17413.54,1904.51,0.0,organic,Midsouth,High price,2015
2015-02-01,1.65,4205.27,1209.82,603.33,606.49,0.0,organic,Nashville,High price,2015
2015-02-01,1.48,2013.46,1816.67,1816.67,0.0,0.0,organic,NewOrleans,High price,2015
2015-02-01,1.93,24697.84,10139.17,10139.17,0.0,0.0,organic,NewYork,High price,2015
2015-02-01,1.78,63537.1,36549.6,36537.93,11.67,0.0,organic,Northeast,High price,2015
2015-02-01,1.89,6551.44,5978.48,5978.48,0.0,0.0,organic,NorthernNewEngland,High price,2015
2015-02-01,1.76,2499.88,1183.33,1183.33,0.0,0.0,organic,Orlando,High price,2015
2015-02-01,1.69,4907.41,3201.03,3201.03,0.0,0.0,organic,Philadelphia,High price,2015
2015-02-01,1.18,13645.72,818.52,813.46,5.06,0.0,organic,PhoenixTucson,High price,2015
2015-02-01,1.77,1427.11,592.46,585.38,7.08,0.0,organic,Pittsburgh,High price,2015
2015-02-01,1.67,30193.16,11757.26,9989.22,1768.04,0.0,organic,Plains,High price,2015
2015-02-01,1.2,39672.8,6568.55,540.0,6028.55,0.0,organic,Portland,High price,2015
2015-02-01,1.79,4385.19,1344.93,1330.43,14.5,0.0,organic,RaleighGreensboro,High price,2015
2015-02-01,1.58,3916.98,1333.77,1296.67,37.1,0.0,organic,RichmondNorfolk,High price,2015
2015-02-01,1.5,4941.74,971.86,903.33,68.53,0.0,organic,Roanoke,High price,2015
2015-02-01,1.22,13195.65,467.34,467.34,0.0,0.0,organic,Sacramento,High price,2015
2015-02-01,1.11,18623.99,1263.56,1263.56,0.0,0.0,organic,SanDiego,High price,2015
2015-02-01,1.06,57802.02,227.71,227.71,0.0,0.0,organic,SanFrancisco,High price,2015
2015-02-01,1.44,40334.59,5911.89,406.67,5505.22,0.0,organic,Seattle,High price,2015
2015-02-01,1.66,3977.03,1744.2,1580.0,164.2,0.0,organic,SouthCarolina,High price,2015
2015-02-01,1.28,64156.46,20337.33,19943.33,394.0,0.0,organic,SouthCentral,High price,2015
2015-02-01,1.6,35085.7,16213.96,14673.34,1540.62,0.0,organic,Southeast,High price,2015
2015-02-01,1.38,6444.84,421.87,220.0,201.87,0.0,organic,Spokane,High price,2015
2015-02-01,1.93,2688.02,350.0,350.0,0.0,0.0,organic,StLouis,High price,2015
2015-02-01,1.65,1285.09,1169.84,1169.84,0.0,0.0,organic,Syracuse,High price,2015
2015-02-01,1.68,2109.19,1326.67,1326.67,0.0,0.0,organic,Tampa,High price,2015
2015-02-01,1.36,740896.97,173196.78,129953.15,43243.63,0.0,organic,TotalUS,High price,2015
2015-02-01,1.34,216484.22,44516.57,11083.16,33433.41,0.0,organic,West,High price,2015
2015-02-01,1.77,7210.19,2563.33,2563.33,0.0,0.0,organic,WestTexNewMexico,High price,2015
2015-02-08,1.59,1770.87,1590.77,1590.77,0.0,0.0,organic,Albany,High price,2015
2015-02-08,1.29,13288.3,2915.77,1316.67,1599.1,0.0,organic,Atlanta,High price,2015
2015-02-08,1.43,14898.15,3741.64,3739.05,2.59,0.0,organic,BaltimoreWashington,High price,2015
2015-02-08,1.35,3870.67,1024.72,323.33,701.39,0.0,organic,Boise,High price,2015
2015-02-08,1.91,3098.29,2134.4,2134.4,0.0,0.0,organic,Boston,High price,2015
2015-02-08,1.54,3414.8,3274.24,3274.24,0.0,0.0,organic,BuffaloRochester,High price,2015
2015-02-08,1.35,132790.41,13761.61,13761.61,0.0,0.0,organic,California,High price,2015
2015-02-08,1.87,4011.02,1347.06,1347.06,0.0,0.0,organic,Charlotte,High price,2015
2015-02-08,1.78,9910.84,1715.56,1715.56,0.0,0.0,organic,Chicago,High price,2015
2015-02-08,1.24,10351.99,1176.93,963.33,213.6,0.0,organic,CincinnatiDayton,High price,2015
2015-02-08,1.78,3483.64,1127.27,856.67,270.6,0.0,organic,Columbus,High price,2015
2015-02-08,1.35,10315.32,3353.33,3353.33,0.0,0.0,organic,DallasFtWorth,High price,2015
2015-02-08,1.4,22798.51,12595.54,2293.33,10302.21,0.0,organic,Denver,High price,2015
2015-02-08,1.86,6499.18,1347.04,913.33,433.71,0.0,organic,Detroit,High price,2015
